%soft,aceph01,aceph02,aceph03,aceph04
0,1.5,1.5,1.63,1.62
1,1.75,0.75,1.12,2.01
2,1.25,1.63,1.26,1.01
3,1.88,1.5,1.64,1.02
4,1.12,1.64,1.75,1.75
5,1.51,1.4,1.03,1.28
6,1.12,1.37,1.52,1.15
7,1.27,1.77,1.88,1.52
8,1.39,1.13,1.38,1.14
9,1.15,0.88,1.63,1.23
10,1.01,0.76,0.88,0.77
11,0.13,0.0,0.13,0.75
12,0.38,0.25,0.25,0.13
13,0.25,0.0,0.0,0.37
14,0.0,0.13,0.13,0.5
15,0.13,0.13,0.25,0.0
16,0.13,0.25,0.25,0.25
17,0.63,0.76,0.75,0.0
18,0.76,0.38,0.38,0.88
19,0.75,0.25,0.25,0.63
20,0.51,0.38,0.13,0.12
21,0.51,0.37,0.25,0.25
22,0.25,0.38,0.0,0.62
23,0.13,0.38,0.51,0.0
24,0.64,0.25,0.25,0.25
25,0.77,1.0,0.0,0.38
26,0.76,1.59,0.25,0.25
27,0.51,1.25,0.25,1.36
28,0.25,0.63,0.25,0.38
29,0.77,1.89,0.5,0.25
30,0.13,0.13,0.13,0.38
31,0.13,0.25,0.38,0.25
32,0.76,0.25,0.38,0.25
33,0.64,0.89,0.38,0.38
34,0.13,0.0,0.0,0.38
35,0.25,0.25,0.0,0.0
36,0.38,0.5,0.25,0.25
37,0.38,0.25,0.26,1.01
38,0.51,0.26,0.64,3.46
39,0.25,0.75,0.63,1.0
40,0.25,0.0,0.13,1.72
41,0.38,0.5,0.26,0.75
42,0.64,0.5,0.26,0.5
43,0.89,1.02,1.02,1.0
44,0.88,0.63,1.02,1.02
45,0.51,0.62,0.63,1.24
46,0.76,0.5,0.51,0.25
47,0.25,0.5,1.13,0.62
48,0.13,0.5,0.13,0.51
49,0.63,1.01,0.64,0.38
50,0.65,0.77,1.02,0.51
51,0.25,0.38,0.38,0.51
52,0.0,0.25,0.12,0.5
53,0.38,0.25,0.25,0.0
54,0.88,0.38,0.88,0.38
55,0.77,1.01,1.01,0.38
56,0.91,1.0,2.36,0.64
57,0.38,0.63,0.5,0.88
58,0.88,0.63,1.25,0.25
59,1.01,1.0,0.13,0.5
60,0.38,0.5,0.0,0.76
61,0.13,0.12,0.0,0.38
62,0.25,0.63,0.13,0.25
63,0.51,0.63,0.76,0.25
64,0.39,1.27,0.88,0.63
65,0.38,0.75,0.64,0.5
66,0.51,0.5,0.38,0.38
67,0.25,0.38,0.13,0.13
68,0.25,1.62,0.5,0.13
69,0.13,0.75,0.0,0.64
70,0.9,1.74,0.76,0.12
71,0.51,1.6,0.26,0.63
72,0.76,3.11,0.89,0.38
73,0.38,1.88,0.63,0.38
74,0.38,0.5,0.0,0.25
75,0.25,0.25,0.38,0.37
76,0.0,0.51,0.38,0.25
77,0.51,0.38,0.38,0.12
78,0.51,0.64,0.76,0.9
79,0.25,0.13,0.25,0.64
80,0.51,0.63,0.63,0.0
81,0.38,0.13,0.13,0.63
82,0.13,0.25,0.25,0.25
83,0.64,0.38,0.63,0.25
84,0.26,0.38,0.0,0.38
85,0.89,0.38,0.25,0.13
86,3.36,0.25,0.25,0.51
87,1.63,0.64,0.38,0.38
88,3.74,0.25,0.38,0.51
89,1.49,0.25,0.25,0.63
90,3.33,0.64,0.63,0.13
91,0.63,0.38,0.25,0.51
92,1.24,0.38,0.63,0.38
93,0.76,0.51,0.38,0.5
94,1.87,1.15,1.01,0.62
95,1.24,0.63,0.63,0.76
96,0.38,0.25,0.25,0.63
97,0.51,0.0,0.25,0.25
98,1.01,0.38,0.38,0.38
99,1.15,0.77,1.02,0.51
100,0.38,0.0,0.38,0.63
101,1.77,1.27,1.01,0.25
102,0.76,1.14,0.51,0.64
103,0.13,0.0,0.13,0.64
104,0.13,0.13,0.13,0.12
105,1.25,0.76,0.64,0.13
106,1.39,0.13,0.88,0.38
107,0.38,0.63,0.25,0.51
108,0.63,0.64,0.25,0.5
109,0.39,0.63,0.5,0.25
110,0.38,0.13,0.13,1.02
111,0.25,0.38,0.38,0.0
112,0.13,0.0,0.13,0.25
113,0.77,0.51,0.89,0.13
114,0.51,0.38,0.26,1.12
115,0.5,0.51,0.25,0.37
116,0.25,0.13,0.13,0.25
117,0.25,0.25,0.13,0.25
118,0.77,0.77,0.77,0.13
119,0.51,0.25,0.51,0.76
120,0.51,0.5,0.5,0.25
121,0.25,0.38,0.38,0.25
122,0.76,0.64,0.51,0.25
123,0.62,0.25,0.13,0.5
124,1.15,0.89,1.25,0.5
125,0.38,0.25,0.13,1.01
126,0.38,0.5,0.38,0.25
127,0.63,0.25,0.63,0.5
128,0.64,0.51,0.38,0.63
129,0.51,0.25,0.38,0.5
130,0.5,0.75,0.5,0.38
131,0.75,1.77,0.63,0.13
132,0.89,0.75,0.64,0.63
133,0.38,0.5,0.38,1.02
134,0.5,0.13,0.25,0.0
135,0.51,0.13,0.25,0.26
136,0.76,0.38,0.25,0.25
137,0.63,0.5,0.25,0.38
138,0.38,0.13,0.25,0.51
139,0.76,0.5,0.25,0.38
140,0.51,0.63,0.51,0.13
141,0.26,0.51,0.5,0.64
142,1.01,0.38,0.26,0.25
143,0.63,0.25,0.25,0.51
144,0.13,0.25,0.13,0.38
145,0.0,0.25,0.25,0.25
146,0.51,0.13,0.88,0.13
147,0.89,0.64,0.76,0.88
148,0.38,0.25,0.5,0.65
149,0.51,0.88,0.5,0.13
150,0.25,0.13,0.38,0.63
151,0.77,0.25,0.5,0.25
152,0.51,0.38,0.13,0.63
153,0.64,0.88,0.51,0.13
154,0.38,0.25,0.38,0.64
155,0.13,0.13,0.0,0.63
156,0.51,0.51,0.38,0.0
157,1.02,0.63,1.01,0.63
158,1.16,0.51,0.51,0.77
159,0.51,0.25,0.51,0.38
160,0.76,0.51,0.64,0.51
161,0.76,0.89,0.76,0.76
162,0.63,0.88,0.26,0.76
163,0.38,0.38,0.25,1.02
164,0.13,0.13,0.25,0.76
165,0.38,0.13,0.38,0.0
166,0.51,0.51,0.5,0.25
167,0.25,0.13,0.13,0.51
168,0.51,0.75,0.51,0.13
169,0.38,0.74,0.25,0.25
170,0.38,0.25,0.38,0.64
171,0.63,0.25,0.0,0.5
172,0.63,0.64,0.25,0.25
173,0.51,0.51,0.26,0.64
174,0.25,0.38,0.25,0.25
175,0.51,0.5,0.51,0.63
176,0.26,0.38,0.38,0.51
177,0.13,0.25,0.25,0.51
178,1.39,0.88,0.76,0.12
179,0.38,0.25,0.38,0.64
180,1.4,0.76,0.37,0.25
181,0.63,0.13,0.25,0.51
182,0.38,0.13,0.13,0.25
183,1.39,0.25,0.25,0.25
184,0.25,0.25,0.13,0.51
185,0.64,0.51,0.64,0.38
186,1.02,0.51,1.01,0.64
187,0.38,0.12,0.25,0.76
188,0.25,0.38,0.13,0.13
189,0.63,0.89,0.52,0.13
190,1.01,0.75,1.14,0.38
191,0.5,0.88,0.13,0.26
192,0.25,0.0,0.13,0.63
193,0.64,0.76,0.65,0.13
194,0.77,0.75,0.75,0.38
195,0.13,0.51,0.25,0.76
196,0.13,0.25,0.13,0.25
197,0.64,0.38,0.5,0.13
198,0.25,0.13,0.25,1.24
199,1.15,0.76,0.51,0.38
200,0.38,0.5,0.5,0.76
201,0.26,0.9,0.64,0.38
202,0.5,0.12,0.13,1.25
203,0.13,0.25,0.0,0.13
204,0.51,0.26,0.38,0.25
205,0.51,0.38,0.62,0.51
206,0.51,0.51,0.13,0.51
207,0.64,0.37,0.64,0.25
208,0.25,0.25,0.38,0.51
209,0.63,0.38,0.13,0.13
210,0.13,0.13,0.38,0.5
211,0.76,1.26,0.63,0.13
212,0.25,0.25,0.0,0.75
213,0.25,0.25,0.0,0.13
214,0.25,0.0,0.25,0.13
215,0.63,0.51,0.25,0.13
216,0.89,0.87,1.01,0.63
217,0.38,0.13,0.38,0.64
218,0.39,0.13,0.5,0.12
219,0.63,0.13,0.13,0.25
220,1.26,0.63,0.5,0.25
221,2.65,0.63,0.88,0.25
222,2.02,0.63,1.51,0.64
223,0.5,0.25,0.75,0.76
224,0.25,0.25,0.38,0.63
225,0.51,0.38,0.51,0.13
226,0.25,0.0,0.13,0.25
227,0.64,0.38,0.63,0.13
228,0.38,0.25,0.13,0.51
229,0.52,0.25,0.38,0.38
230,0.38,0.38,0.25,0.38
231,0.39,0.51,0.63,0.13
232,0.38,0.0,0.13,0.51
233,1.03,0.26,0.75,0.13
234,1.02,0.51,0.64,0.64
235,0.39,0.76,0.51,0.38
236,1.0,0.25,0.63,1.02
237,0.51,0.38,0.38,0.38
238,1.02,0.38,0.63,0.25
239,0.51,0.25,0.25,0.64
240,0.76,0.5,0.63,0.5
241,0.5,0.25,0.25,0.38
242,0.64,0.63,0.51,0.51
243,0.13,0.13,0.25,0.38
244,0.76,0.38,0.63,0.13
245,0.77,0.51,0.63,1.27
246,1.4,1.39,0.89,0.38
247,0.38,0.13,0.25,0.76
248,0.0,0.12,0.25,0.25
249,0.65,0.51,0.26,0.13
250,1.03,0.63,0.88,0.63
251,0.89,0.39,0.25,1.01
252,0.25,0.25,0.13,0.99
253,0.38,0.25,0.0,0.5
254,1.03,0.38,0.88,0.0
255,0.39,0.38,0.38,0.88
256,0.38,0.38,0.25,0.25
257,0.5,0.38,0.13,0.25
258,0.0,0.38,0.5,0.38
259,0.64,0.13,0.13,0.5
260,0.25,0.13,0.13,0.25
261,0.51,0.63,0.63,0.13
262,0.13,0.0,0.25,0.63
263,0.13,0.99,0.51,0.63
264,0.51,0.88,0.25,0.13
265,0.38,0.38,0.38,0.64
266,0.38,0.25,0.38,0.38
267,0.63,0.13,0.25,0.37
268,0.38,0.5,0.25,0.25
269,0.26,0.51,0.38,0.25
270,0.51,0.25,0.13,0.51
271,0.89,0.63,0.26,0.38
272,0.38,0.13,0.51,0.76
273,0.51,0.13,0.25,0.25
274,0.25,0.13,0.38,0.5
275,0.51,0.64,0.25,0.0
276,0.52,0.51,0.75,0.76
277,0.9,0.51,0.25,0.51
278,0.76,0.38,0.63,0.64
279,0.0,0.13,0.25,0.64
280,0.25,0.25,0.25,0.13
281,0.89,0.76,0.75,0.25
282,0.51,0.64,0.5,0.39
283,0.38,0.5,0.64,0.25
284,0.89,0.38,0.38,0.51
285,0.25,0.0,0.25,0.0
286,0.13,0.25,0.0,0.38
287,1.02,0.75,0.76,0.13
288,0.38,0.25,0.38,1.01
289,0.13,0.37,0.63,0.38
290,0.75,0.63,0.52,0.38
291,0.88,0.51,0.5,0.89
292,0.25,0.13,0.38,0.13
293,0.64,0.64,0.38,0.25
294,0.77,0.5,0.25,0.63
295,0.13,0.38,0.38,0.63
296,0.64,0.25,0.38,0.25
297,0.51,0.63,0.25,0.63
298,0.38,0.51,0.63,0.51
299,0.76,1.02,0.88,0.37
300,0.38,0.25,0.13,1.27
301,0.38,0.13,0.25,0.13
302,0.51,0.13,0.38,0.25
303,0.38,0.38,0.51,0.5
304,1.27,0.64,0.78,0.25
305,0.38,0.25,0.25,0.64
306,0.38,0.76,0.25,0.5
307,0.88,0.76,1.02,0.13
308,0.38,0.38,0.38,0.76
309,0.13,0.25,0.13,0.25
310,0.51,0.38,0.38,0.13
311,0.77,0.75,1.02,0.51
312,0.78,1.26,1.01,0.64
313,0.39,0.5,0.38,1.52
314,1.02,1.25,1.25,0.26
315,0.38,0.63,0.51,1.02
316,0.77,0.89,0.51,0.13
317,0.13,0.25,0.25,0.75
318,0.38,0.25,0.13,0.38
319,0.25,0.89,0.76,0.13
320,0.75,1.62,0.64,0.63
321,1.25,3.04,0.51,0.64
322,0.12,0.99,0.13,0.26
323,0.25,0.13,0.13,0.25
324,0.13,0.38,0.25,0.13
325,0.13,0.13,0.25,0.25
326,1.15,0.75,2.23,0.0
327,0.51,0.38,1.49,0.89
328,0.52,0.63,1.37,0.13
329,0.76,0.5,1.24,0.88
330,0.51,0.63,0.77,0.51
331,1.02,0.64,0.88,0.76
332,0.76,0.76,0.63,0.63
333,0.25,0.13,0.13,0.51
334,1.02,0.76,1.15,0.13
335,1.26,1.16,0.63,0.63
336,0.38,0.37,0.63,0.88
337,0.38,0.5,0.5,0.25
338,1.03,1.26,0.76,0.25
339,0.38,0.99,0.13,0.51
340,0.13,0.13,0.25,0.25
341,0.25,0.26,0.13,0.13
342,0.38,0.5,0.38,0.38
343,0.76,0.13,0.38,0.38
344,1.25,1.12,0.89,0.51
345,1.13,0.63,0.5,0.77
346,0.37,0.13,0.12,0.38
347,0.38,0.38,0.13,0.0
348,0.25,0.13,0.38,0.13
349,0.75,0.51,0.51,0.13
350,0.63,0.5,0.88,0.51
351,1.02,0.5,0.89,0.38
352,0.51,0.5,0.25,0.89
353,0.38,0.13,0.13,0.38
354,1.29,0.76,0.76,0.13
355,0.76,0.76,0.38,0.63
356,0.64,0.25,0.38,0.64
357,0.13,0.13,0.25,0.13
358,0.38,0.13,0.13,0.38
359,0.38,0.13,0.38,0.25
360,1.15,1.37,1.02,0.13
361,0.38,0.63,0.25,1.15
362,0.38,0.13,0.25,0.5
363,0.25,0.13,0.13,0.13
364,0.38,0.5,0.5,0.13
365,0.38,0.38,0.38,0.13
366,0.38,0.25,0.13,0.25
367,0.63,1.02,0.9,0.0
368,0.63,0.0,0.25,0.88
369,0.13,0.13,0.25,0.38
370,0.77,0.63,0.51,0.38
371,1.27,1.02,0.76,1.02
372,0.89,0.88,0.5,1.01
373,0.76,0.76,0.63,0.76
374,0.0,0.13,0.13,0.38
375,1.01,0.64,0.64,0.0
376,0.76,0.88,0.51,0.51
377,0.38,0.38,0.5,0.5
378,0.0,0.13,0.0,0.13
379,0.75,0.25,0.38,0.25
380,0.64,0.25,0.63,0.13
381,0.51,0.38,0.76,0.38
382,0.0,0.0,0.0,0.38
383,0.25,0.0,0.37,0.13
384,0.38,0.25,0.25,0.38
385,0.88,0.52,0.88,0.38
386,0.89,0.64,0.63,0.64
387,0.13,0.38,0.5,1.01
388,0.38,0.5,0.13,0.51
389,0.38,0.0,0.38,0.38
390,1.63,1.79,0.75,0.25
391,0.76,0.38,0.51,1.0
392,1.01,0.26,0.51,0.26
393,1.64,0.13,0.13,0.88
394,1.53,0.63,0.63,0.38
395,0.25,0.38,0.38,0.26
396,0.25,0.51,0.25,0.38
397,0.63,0.76,0.64,0.25
398,0.38,0.38,0.63,0.5
399,0.25,0.0,0.13,0.38