op_rw_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
89,0.0,0,0,0,0,2.504,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.001,0,3.074,0.0,0.001,0,0.0,0.0,0.001,0,0,0,0,0,0.0,0
90,0.0,0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.611,0,0.0,0,0,0,0.001,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.001,0.0,0.0,0,0.0,0.001,0.0,0.0
91,0.0,6.617,0,0.001,0,0.001,0,0,0,0.0,0.0,0,0.001,0.001,0,1.817,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.004,0.001,0
92,0,0.401,0,0,0,0,0,0.0,0.0,0.001,0.0,0,0.0,0.0,0,1.375,0,0.0,0,0,0,0,0,0,0.0,0.001,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0
93,0.0,0,0,0,0,0,0,0.0,0,0,0.0,3.036,0,0,3.073,0,0,0,0,0,0.001,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,2.112,0,0,0,0
94,0.001,0.001,0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0,0.0,0.0,0,0.392,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.606,0.0,0,0,0,0.0,0.0,0.0,0.0
95,0,0,0.141,0.0,0,0.0,0.001,0,0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.001,0.0,0.001,1.696,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
96,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.001,0.0,4.845,0,0,0,6.185,0.0,0.0,0,0,0,0.0,0,0.002,0,0.0,0.0,0.0,1.494,0.001,0.0,0
97,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.0,0,0,0,0,0,0.489,0.0,0,0,0.189,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.001,0.0,0,0.0,0
98,0.0,0,0,0,0.0,0.0,0,0,0.001,0.0,0,0,0,0,0,0,0.0,0,0,0.037,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0
99,0.001,0.001,0.001,0,0,0.0,0.0,0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.001,0.0,1.115,0.0,0.002,0.0,0.0,0.0,0.001,0.0
100,0.0,0,0,0,0,0.0,0,1.399,0,0.001,0.0,0,0.28,0.001,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.002,0,0.001,0.0,0
101,0,0,0,2.281,0,0,0,0.0,0,0,0.0,0,0,0.0,0.002,0,0,0.0,0,0.0,0,0,0,0.0,0.667,0.0,0,0,0.366,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0
102,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,4.605,0.001,0,0,0.0,0,0.001,0.001,0.0,0,0.0,0.001,0,0.0,0,0.0,0.001,0,0,0
103,0.001,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0,0.001,0,0.0,2.54,0,0.002,0.0,0.518,0.0,0,0.001,0.275,0.001,0.0,0.0,0.006,0.0,0,0.001,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.001,0.0
104,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.001,0
105,0.0,0,0,0,0,0,0,0.0,0,0.001,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.001,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
106,0,0,0,0,0,0,0,0.0,0.204,0,0.004,0,0,0.001,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.001,0.0,0,0.001,0.0,0,0,0,0.0,0.0,0,0.001,0
107,0,0,0,0,0.003,0.001,0,0.001,0.0,0,0,0,0.0,0,0.0,0.0,0.001,0,0,0.002,0.001,0.0,0.0,0.0,0.0,0,0.001,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.111,0.001,0.0
108,0,0.0,0.0,0.0,0,0.0,0.001,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.064,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
109,0,0,0,0.0,0,0.001,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.377,0.001,0,0,0.0,0,0.0,0.0,2.619,0,0,0.0,0,0,0.001,0.0,0,0,0.0,0,0.0,0.0,0
110,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.001,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,1.456,0,0,0.0,0,0,0
111,0,0,0,0,0,0,0,0.0,0,0,0.001,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.001,0,0.0,0.0,0,0.0,1.793,0.0,0,0,0,0
112,0,0.001,0,0.0,0.001,0,0.0,0.0,0.001,0,0,0.0,0.0,0,0.0,0.001,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0,0,0,0.0,0.0,0,0
113,7.006,0,0.0,0.0,0,0,0.001,0,0,0,0.001,0.0,0.0,5.301,0,0.001,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.002,0,0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,1.096,0
114,0.13,0,0,0,0,0,0,0.001,0.0,5.037,0,0,0.0,0.092,0,0,0,0.0,0,0.0,0,0,0,0.001,0.0,0.0,0,0,0,0.0,0,0.001,0.0,0.0,0.0,0,0,0.0,0.001,0
115,0,0,0,0,0,0,0,0.001,0,0.412,0.03,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.008,0.0,0,0.0,0,0,0.0,0,0,3.035
116,0.0,0,0,0,0,3.729,0,0.0,0.0,0.0,0,0,0.001,0,0,0,0.0,0,2.503,0.0,0.0,0.0,0,0,0.001,0,0,0.0,0.0,0,0.0,0.0,0.001,0,0,0,0,0,0.243,0
117,0.001,0.322,0.0,0.0,0.0,1.355,0.382,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.001,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
118,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.001,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1.301,0,0.0,0,0.74,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0
119,0,0,0,0,0,0,0,0.0,0.0,0,0.001,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.001,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.001,4.198,0,0,0.0,0
120,0.0,0,0,0,0,0,0,0.0,0,0,0.001,0,0,0,0,3.748,0,0,0,0,0.0,0,0,0,0.0,0,0,0.051,0.001,0,0.0,0.946,0,0.0,0,2.133,0.0,0,0,0
121,0.001,0.0,0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0,0.044,0.0,0,7.91,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.001,0.0,0.0,0.0,0.001,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0
122,0,0,0,0.0,0,0.001,0.0,0,0,0.001,0.0,0.0,0.0,0.0,0.15,0.0,0,0.001,0.001,0.948,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1.486,0.0,0.0,0.0,0.0,0,0.0,0.0,0
123,0.0,0,0.179,0,0,0,0,0,0.001,0.001,0,0,0.001,0.001,0.0,0,0,0.0,0.0,0.665,0,0,0,0,0.001,0.002,0,2.106,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0
124,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0.001,0,0,0,3.112,0.001,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0
125,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,1.445,0,0,0.0,0.0,0.0,0,0.0,0.0,0.161,0,0,0,0,0,0.0,0
126,0.001,0.0,0.0,0,0.002,0.0,0.0,0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,5.107,0.0,0.0,0.0
127,0.001,0,0,0,0,0.0,0.0,0,0,0.001,0.0,0,0.361,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.521,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.219,0.0,0.001,0
128,0,0,0,0,0,0,0,0,0.0,0.0,0.001,0,0,0.0,0.0,0,3.127,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.001,0
129,0.001,0,0,1.871,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,2.49,0,0,0,1.087,0.0,0,0.0,1.05,0,0.0,0.0,0,0.0,0,0.001,0.0,0,0,0
130,0.001,0.001,0,0,0,0.0,0,2.705,0,0.001,0,0.0,2.899,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0,0.0,0.0,1.306,0,0,0,0,0,0.001,0.0
131,0.001,0.0,0.0,0.0,0,0.0,0.001,0.801,0,0.004,0.001,0.0,1.448,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.001,0,0.001,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0
132,0.0,0,0,0.0,0,0.001,0,0,1.076,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0.001,0.0,0,0,0.0,0,0,0.0,0
133,0,0,0,0,0,0,0,0.0,0.001,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.001,0,0.0,0
134,0.0,0,0,0,3.66,0,0,0.0,0,0,0.001,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.001,0.965,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0
135,0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.085,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0,0.0,0.0,0.0,0,0.001,0,0.0,1.275,0.0,0.0
136,0,0,0,0.0,0,0,0.0,0,0,0.0,0.001,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.112,0.0,0
137,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0,0.0,0.0,0.0,0,0,0.505,0.0,0.0,0,0.174,0,0.0,0.0,0.001,0,0,0,0,0,0.001,0,0,0.0,0.0,0,0.0,0.002,0
138,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.001,0,0,0,0.0,0,0,0.0,0.0,2.455,0,0.0,0,0.746,0,0.0,0.0,0,0,0
139,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0
140,2.277,0.001,0.0,0.0,0,0,0.0,0,0.001,0.05,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.001,0.0,0.001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.001
141,0.0,0,0,0.0,0,0,0,0,0,0.001,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.001,0.0,0,0,0.0,0,0,0.001,0.001,0.0,0,0.0,0,0.0,0,0
142,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.383,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,2.754,0.0,0,0,0.822,0,0.0,0,0,0
143,0.0,0,0,0,0,3.623,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.001,0,0,0.0,0,0.001,0.001,0.001,0,0.0,0.0,0,0.0,0,0.003,0,0,0,0
144,0.001,0,0,0.0,0.0,0.0,0,0.0,0.001,0.001,2.437,0,0.0,0,0,0.0,0.0,0.002,2.914,0.0,0.0,0,0.0,0.0,0.002,0.0,0.0,0.0,0,0.0,0.0,0.002,0.0,0,0,0,0.0,0.0,0.424,0.0
145,0,0,0.001,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.001,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.001,0.0,0.0,0,0.001,0.0,0.0,0
146,0.001,1.447,0,0,0,0.001,1.259,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
147,0,0,0,0,0,0,0,0.0,0.001,0,0.0,2.616,0,0.001,1.47,0,0,0,0,0,0.001,0,0,0,0.0,0.001,0,0,0.0,0,0.0,0,0,0.0,0,0.906,0.0,0,0.001,0
148,0.0,0,0,0,0,0.0,0,0.001,0.002,0,0,4.145,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.001,0,0,0,0,0,0,0,0.0,0
149,0.0,0.0,0.035,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.941,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.001,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
150,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.001,0,0.0,0.0,0,0,0,0,0.0,1.399,0,0,0,0,0.0,0.0,0,0,0.0,0,0,1.863,0,0.0,0,0.0,1.286,0.0,0.001,0
151,0,0,0,0,0,0,0,0,0.0,0.001,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,6.34,0.0,0.0,0,0,0,0.001,0,0.0,0,0.0,0.001,0.0,0,0,0.0,0
152,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.001,0,1.792,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0
153,0.0,0.001,0,0,0.001,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.08,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.001,0.001,0.0,0.0,0,0,0,0,0,0,0.0,0.0
154,0.001,0.0,0.0,0,0,0.0,0.0,0,0.001,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.013,0.0,0,0.0,0.138,0,0,0,0.0,0,0.0,0.0,0.0,1.501,0.0,0.0,0
155,0.001,0,0,0,0,0.0,0,0.699,0,0.001,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.001,0,0,0,0,0.001,0,0,0,0.0,0,0.0,1.689,0.0,0.001,0.001,0,0.0,0.0,0
156,0,0,0,0,0,0,0,0.0,0,0,0.001,0,1.204,0.0,0,0,0,0.0,0,0,0.001,0,0,0,0.831,0,0.001,0.0,0.506,0,0,0.0,0,0.0,0,0.002,0.0,0,0.0,0
157,0.0,0,0,2.183,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.001,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.374,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0
158,0.0,0.0,0.006,0.0,0,0.0,0.001,0.0,0,0.001,0.003,0.001,0.268,0.001,0.0,0.0,0,0.001,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0.001,0.001,0.0,0.0,0.0,0,0.0,0.001,0.0,0,0.0,0.0
159,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.001,0,0,0,0,0.0,0.001,0,0,0,0,0,0,0.0,0,0,0,0.001,0.0,0,0.0,0
160,0.0,0,0,0,0,0,0,0.0,0.971,0.0,0.001,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.001,0,0.0,0.0,0,0,0.001,0
161,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.001,0,0,0,0.0,0,0.0,0.0,0.001,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0
162,0.0,0.0,0,0,4.374,0.0,0,0.0,0.001,0.0,0,0.001,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.001,0.0,0,0.0,0.0,0,0,0.0,0.001,0.0,1.326,0,0,0,0.931,0.0,0.0
163,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001,0,0.0,0.0,0,0,0.0,0.0,0,1.252,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.001,0.0,0.0,0.0,0.0,0
164,0,0,0,0.0,0,0.002,0,0,0,0.001,0.0,0,0.0,0,0.0,0,0,0.996,0.0,0.001,0,0,0,0.0,0.0,5.831,0,0,0,0,0,0.001,0.0,0.426,0,0.0,0,0.0,0,0
165,1.114,0,0,0,0,0,0,0.0,0.004,0,0.0,0,0.0,0,0,0,0,0.111,0,0,0.0,0,0,0,0.0,0.295,0,0.0,0.0,0,0,0.0,0,0.15,0,0,0.0,0,0,0
166,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0
167,0.002,0.001,0.001,0.0,0.0,0,0.0,0.001,0.0,0,0.0,0.0,0.0,3.048,0.004,0.0,0.0,0.001,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,1.617,0,0.0,0.0,0,3.054,0,0.0,0.002,1.147,0.0
168,0,0,0,0.0,0,0,0.0,0,0,2.333,0.0,0,0.0,0.013,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.001,0.054,0.0,0.0,0.001,0.001,0
169,0.0,0,0,0,0,0,0,0.0,0.0,0.315,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,3.321,0.0,0.0,0.0,0.001,0.0,0,0,0.0,0
170,0,0,0,0,0,0,0,0,0,0,0.673,0,0,0,0,0,0,0,3.349,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,2.653,0.0,0,0.0,0,0,0.0,0,0.0,0
171,0.0,0,0,0,0,2.967,0,0.0,0.0,0,0,0,0.0,0,0,0,0.001,0.001,0,0,0.0,0.0,0,0.0,0.0,0.0,2.62,0.0,0.0,0.014,0.0,0.0,0.0,0,0,1.322,0,0,0.0,0
172,0.0,1.888,0.0,0.002,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0,0.007,0.0,0,0,0,0.0,0,0.0,0,0.001,0.327,0,0.0,0,0.001,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.001
173,0.0,0,0,0.0,0,0.0,0,0,0,0.002,0.0,0,0.0,0.0,0,0,0,0,1.874,0,0,0,0,0,0.001,0.0,0,0,0,0.002,0,0,0.0,0.0,0,0.808,0,0.0,0.0,0
174,0,0,0,0,0,0,0,0.0,0.0,0.001,0.0,0,0.0,0.0,0.153,0,0,0.0,0,0,0.0,0,0,1.323,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,1.145,0.0,0,0.0,0
175,0.001,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.001,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.001,0,0.001,0,0,0,0
176,0.0,0.0,0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0,2.964,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.001,0,0,0,0.0,0.0,0.0,0.0
177,0.0,0,0.84,0.0,0,0.0,0.001,0,0,0.001,0.0,0.001,0.001,0.0,0,2.648,0,0.0,0.0,1.446,0,0.0,0,0,0.0,0,0,0,0.008,0,0,0.582,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0
178,0.0,0,0,0,0,0.0,0,0,0.001,0.0,0,0,0.0,0.0,0.001,0,0,0.0,0.001,0.856,0.0,0,0,0.167,0.0,0.0,0,0,0,0.001,0,0.001,0.0,0.0,0.0,0.001,0,0.0,0.0,0
179,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.001,0,0.001,0,0.084,0.0,0,0.0,1.634,0.0,0,0.001,0.0,0,0.001,0,0.0,0.003,0,0.0,0
180,0.0,0,0,0,0,0.0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0.0,0.0,0.0,0,0.0,0.001,0.225,0,0.0,0.001,0.0,0,0,0,0,0,0,0.0,0
181,0.0,0.001,0.061,0,0.0,0.002,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.001,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.249,0.001,0.0,0.0
182,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,1.975,0.0,0,0,2.738,0,0,0.0,2.546,0.0,0,0,1.252,0.0,0,0.0,0.09,0.0,0,0.0,0,0.0,0.0,0
183,0,0,0,1.896,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.001,0,0,0,0.923,0.0,0,0.0,0.001,0,0,0.0,0,0.0,0.001,0.0,0,0,0.0,0
184,0.0,0,0,0,0,0,0,1.439,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.001,0.0,0.0,0.001,0.0,0,0.0,0.0,0.0,0,0.0,0.001,0,0.0,0,0.0,0.0,0,0,0
185,0.0,0.0,0,0,0,0.001,0,0.075,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.001,0.0,0.0,0,0.001,0.0,0.0,0.0,0,0,0,0,0,0.0,0.001
186,0.001,0.0,0.0,0.001,0,0.0,0.0,0,0,0.0,0.0,0.0,4.476,0.0,0.0,0.0,0.003,0.0,0.001,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.001,0,0.0,0.001,0.001,0,0.0,0
