start_time,Messenger_pipe read message,osd op_enqueue op,osd op_dequeue_op,pg op_do request,pg op_issue replication ops,replicated op_simple submitting message,filestore_journal started,journal_submit_entry,replicated op_pipe writing message,journal_prepare_single_write,filestore_writeahead journal finished,filestore_queued,journal_queued completion,filestore_op_apply_start,filestore__do_transactions start,pg op_op commit,filestore_op_apply_finish,filestore__finish_op,pg op_op applied,replicated op_message_destructed,pg op_sub_op_commit_rec,Messenger_message_destructed
184221,0.006,0.137,0.272,0.276,1.041,1.122,1.268,1.303,1.547,1.777,13.319,13.327,13.365,13.384,13.388,13.415,16.733,16.739,16.824,30.213,30.532,909.486
184678,0.006,0.137,0.286,0.290,0.990,1.053,1.153,1.171,1.366,1.523,13.776,13.782,13.778,13.824,13.826,13.821,16.361,16.367,16.453,30.130,30.301,318.381
184711,0.008,0.170,0.318,0.320,0.653,0.684,0.766,0.787,1.076,1.261,13.843,13.851,13.850,13.913,13.917,13.915,16.223,16.229,16.344,23.208,23.494,23.596
184842,0.007,0.168,0.258,0.261,0.684,0.789,0.902,0.929,1.083,1.270,12.969,12.978,13.006,13.039,13.043,13.075,15.462,15.467,15.546,21.429,21.689,21.823
184945,0.009,0.173,0.271,0.274,0.947,1.014,1.117,1.142,1.571,1.805,13.435,13.442,13.461,47.325,47.330,13.522,51.322,51.327,51.484,24.531,24.668,316.874
185132,0.006,0.138,0.266,0.270,0.912,0.978,1.076,1.100,1.416,1.568,13.222,13.231,13.241,260.463,260.474,13.328,262.689,262.693,262.788,20.737,20.902,1123.008
185230,0.005,0.087,0.136,0.138,0.495,0.533,0.594,0.606,0.743,0.803,12.679,12.684,12.686,446.315,446.320,12.761,449.735,449.744,449.836,17.021,17.177,1724.774
185555,0.005,0.093,0.145,0.147,0.465,0.496,0.552,0.565,0.712,0.804,12.364,12.369,12.385,546.646,546.651,12.455,550.348,550.354,550.447,18.201,18.389,1834.490
185576,0.005,0.092,0.181,0.184,0.503,0.534,0.588,0.600,0.719,0.793,12.546,12.551,12.546,526.197,526.201,12.599,530.438,530.443,530.542,21.740,21.965,1670.808
185735,0.007,0.135,0.255,0.258,0.806,0.870,0.956,0.979,1.215,1.375,13.418,13.426,13.421,657.917,657.921,13.509,661.010,661.017,661.143,18.596,18.788,NULL
185975,0.007,0.159,0.293,0.297,0.948,1.009,1.154,1.188,1.432,1.651,16.932,16.939,16.933,834.651,834.654,17.042,836.975,836.980,837.053,19.394,19.676,NULL
186079,0.009,0.167,0.299,0.303,1.006,1.079,1.180,1.204,1.518,1.630,15.124,15.131,15.132,872.122,872.124,15.198,875.269,875.278,875.413,21.333,21.625,NULL
186843,0.015,0.125,0.175,0.177,0.489,0.522,0.579,0.592,0.746,0.827,12.413,12.417,12.424,542.302,542.307,12.486,545.943,545.948,546.015,201.277,201.443,546.076
187047,0.005,0.096,0.146,0.148,0.484,0.518,0.572,0.585,0.725,0.774,12.374,12.379,12.391,488.596,488.601,12.457,492.384,492.389,492.451,18.352,18.540,492.476
187068,0.005,0.092,0.169,0.171,0.504,0.535,0.595,0.607,0.743,0.798,12.187,12.200,12.193,467.989,467.993,12.248,471.548,471.583,471.710,19.079,19.232,471.776
187355,0.016,0.111,0.223,0.227,0.896,0.955,1.069,1.084,1.238,1.315,13.265,13.269,13.266,463.956,463.961,13.313,467.562,467.622,467.743,19.591,19.755,467.802
187407,0.008,0.147,0.241,0.246,0.922,0.986,1.096,1.121,1.433,1.562,13.499,13.505,13.517,553.781,553.782,13.566,556.909,556.963,557.081,210.297,222.611,557.146
187660,0.009,0.164,0.258,0.261,0.922,0.981,1.085,1.110,1.423,1.583,13.486,13.493,13.485,434.237,434.241,13.565,437.763,437.831,437.962,197.125,203.804,438.027
188873,0.008,0.153,0.314,0.318,1.001,1.068,1.215,1.241,1.455,1.527,12.586,12.592,12.581,12.703,12.708,12.749,16.566,16.573,16.689,212.508,1389.296,NULL
190265,0.008,0.189,0.319,0.323,0.990,1.055,1.206,1.232,1.512,1.729,13.008,13.017,13.049,13.074,13.078,13.089,16.356,16.362,16.486,20.918,21.278,21.373
190347,0.008,0.144,0.278,0.282,0.941,1.000,1.102,1.139,1.420,1.591,12.969,12.978,13.003,13.039,13.043,13.045,16.474,16.491,16.584,22.448,22.714,22.810
190510,0.020,0.147,0.293,0.298,1.050,1.128,1.256,1.283,1.610,1.789,12.982,12.989,12.982,13.050,13.055,13.097,16.357,16.364,16.505,20.723,20.995,21.127
190945,0.008,0.147,0.279,0.284,0.958,1.018,1.129,1.155,1.493,1.640,12.788,12.796,12.788,12.840,12.844,12.880,15.076,15.114,15.210,19.701,19.978,20.113
190968,0.006,0.101,0.154,0.157,0.502,0.539,0.604,0.617,0.841,0.912,11.757,11.760,11.756,11.775,11.777,11.810,13.505,13.509,13.549,23.590,23.835,23.934
191045,0.006,0.131,0.266,0.270,0.919,0.982,1.085,1.110,1.347,1.824,12.390,12.402,12.388,48.451,48.457,12.501,52.415,52.420,52.521,66.006,66.318,66.425
191114,0.007,0.133,0.230,0.241,0.772,0.828,0.915,0.934,1.190,1.330,12.166,12.172,12.129,45.943,45.947,12.274,49.214,49.220,49.332,21.197,21.470,49.378
191407,0.008,0.168,0.306,0.311,0.964,1.024,1.124,1.148,1.467,1.614,12.587,12.594,12.619,12.653,12.657,12.701,15.980,15.987,16.110,20.355,20.642,20.737
192813,0.006,0.182,0.322,0.327,0.995,1.055,1.161,1.186,1.531,1.653,16.131,16.136,16.141,16.192,16.196,16.203,19.552,19.561,19.683,20.677,20.958,21.122
193112,0.005,0.134,0.263,0.267,0.898,0.961,1.060,1.084,1.406,1.552,12.800,12.808,12.832,41.368,41.374,12.878,45.135,45.186,45.303,20.437,20.744,45.357
193350,0.006,0.137,0.304,0.308,1.018,1.080,1.185,1.209,1.487,1.684,13.143,13.152,13.153,13.180,13.184,13.218,16.547,16.598,16.722,19.437,19.722,19.816
193986,0.006,0.143,0.265,0.270,0.937,1.047,1.161,1.188,1.409,1.710,13.066,13.073,13.063,13.111,13.137,13.144,16.359,16.365,16.486,19.303,19.578,19.746
194986,0.004,0.103,0.176,0.184,0.271,0.324,0.411,0.461,0.361,0.510,0.710,0.714,0.726,0.732,0.734,0.762,2.019,2.024,2.076,1.132,1.310,2.127
195012,0.003,0.092,0.160,0.164,0.249,0.312,0.412,0.435,0.347,0.492,0.701,0.705,0.700,0.726,0.728,0.746,2.129,2.157,2.213,1.062,1.293,2.250
195013,0.002,0.088,0.170,0.173,0.250,0.304,0.388,0.409,0.335,0.482,0.697,0.705,0.713,0.721,0.724,0.751,2.045,2.049,2.104,1.015,1.187,2.144
195021,0.003,0.093,0.179,0.182,0.259,0.316,0.400,0.421,0.348,0.474,0.700,0.704,0.698,0.721,0.724,0.753,2.071,2.093,2.144,1.007,1.187,2.182
195027,0.003,0.098,0.169,0.171,0.247,0.300,0.382,0.403,0.331,0.455,0.752,0.756,0.765,0.809,0.814,0.795,2.272,2.276,2.324,1.052,1.224,2.358
195038,0.003,0.097,0.169,0.172,0.246,0.298,0.412,0.434,0.345,0.483,0.690,0.695,0.708,0.716,0.720,0.745,2.040,2.063,2.135,1.154,1.343,2.182
195044,0.003,0.086,0.167,0.170,0.244,0.295,0.379,0.400,0.328,0.444,0.647,0.651,0.658,0.666,0.668,0.698,1.969,1.992,2.072,1.043,1.225,2.112
195065,0.003,0.097,0.166,0.169,0.239,0.292,0.375,0.398,0.327,0.461,0.683,0.687,0.705,0.704,0.707,0.740,2.061,2.066,2.114,1.069,1.249,2.146
195067,0.009,0.089,0.155,0.158,0.230,0.284,0.367,0.388,0.319,0.435,0.644,0.648,0.658,0.669,0.673,0.695,2.187,2.191,2.257,1.042,1.259,2.312
195076,0.003,0.097,0.169,0.172,0.245,0.299,0.386,0.408,0.334,0.467,0.731,0.737,0.734,0.754,0.756,0.788,2.064,2.068,2.141,1.049,1.239,2.208
197044,0.003,0.103,0.190,0.192,0.276,0.329,0.421,0.443,0.365,0.512,0.726,0.730,0.729,0.761,0.764,0.779,2.125,2.149,2.210,1.228,1.430,2.254
197077,0.004,0.118,0.204,0.207,0.287,0.344,0.434,0.456,0.434,0.571,0.939,0.946,0.930,1.013,1.016,1.046,2.465,2.469,2.536,1.800,2.051,2.577
197100,0.003,0.085,0.141,0.143,0.206,0.254,0.328,0.369,0.283,0.413,0.609,0.612,0.620,0.632,0.634,0.655,2.094,2.118,2.187,1.034,1.229,2.223
197102,0.003,0.087,0.178,0.181,0.270,0.321,0.410,0.433,0.355,0.500,0.703,0.707,0.718,0.723,0.725,0.760,2.043,2.047,2.125,1.141,1.348,2.157
197104,0.002,0.072,0.131,0.134,0.194,0.253,0.354,0.377,0.294,0.437,0.638,0.642,0.654,0.657,0.659,0.689,1.893,1.897,1.948,1.047,1.224,1.992
197110,0.003,0.105,0.176,0.178,0.245,0.289,0.374,0.396,0.317,0.443,0.640,0.645,0.651,0.659,0.662,0.689,1.847,1.850,1.892,1.031,1.157,1.920
197112,0.002,0.077,0.150,0.152,0.217,0.262,0.334,0.353,0.289,0.390,0.587,0.591,0.605,0.606,0.608,0.640,1.754,1.777,1.818,1.043,1.190,1.860
197115,0.003,0.128,0.198,0.201,0.271,0.324,0.406,0.445,0.359,0.500,0.710,0.714,0.731,0.736,0.738,0.764,1.923,1.926,1.968,1.040,1.210,1.994
197136,0.003,0.079,0.137,0.139,0.201,0.245,0.351,0.375,0.273,0.427,0.629,0.633,0.659,0.655,0.657,0.693,2.065,2.069,2.126,0.980,1.169,2.171
197137,0.003,0.092,0.166,0.168,0.249,0.304,0.395,0.416,0.339,0.462,0.683,0.687,0.699,0.704,0.707,0.737,2.141,2.145,2.210,1.025,1.237,2.244
197142,0.004,0.100,0.173,0.176,0.249,0.301,0.388,0.409,0.334,0.455,0.654,0.658,0.672,0.674,0.676,0.715,1.784,1.807,1.873,0.980,1.133,1.907
197151,0.003,0.075,0.130,0.133,0.191,0.236,0.303,0.321,0.266,0.367,0.564,0.569,0.584,0.599,0.601,0.627,1.752,1.772,1.834,0.860,1.047,1.868
197176,0.003,0.096,0.185,0.187,0.251,0.308,0.424,0.447,0.353,0.517,0.757,0.761,0.778,0.792,0.795,0.807,2.179,2.210,2.268,1.116,1.331,2.301
197178,0.007,0.114,0.187,0.190,0.263,0.314,0.405,0.428,0.349,0.475,0.713,0.717,0.730,0.733,0.735,0.768,2.118,2.148,2.201,1.127,1.308,2.231
197182,0.003,0.114,0.209,0.211,0.282,0.335,0.418,0.439,0.369,0.490,0.708,0.712,0.725,0.730,0.734,0.762,2.217,2.221,2.290,1.037,1.219,2.350
197184,0.003,0.108,0.178,0.180,0.254,0.306,0.421,0.444,0.349,0.494,0.734,0.738,0.752,0.756,0.759,0.809,2.107,2.135,2.200,1.019,1.225,2.234
197187,0.004,0.103,0.171,0.174,0.246,0.298,0.382,0.403,0.333,0.455,0.658,0.669,0.676,0.700,0.703,0.717,2.042,2.067,2.132,1.067,1.255,2.160
197214,0.004,0.125,0.195,0.204,0.297,0.342,0.444,0.465,0.393,0.530,0.747,0.751,0.768,0.780,0.783,0.801,1.886,1.889,1.928,1.233,1.452,1.963
197223,0.003,0.091,0.155,0.158,0.230,0.281,0.366,0.410,0.316,0.460,0.675,0.679,0.686,0.694,0.697,0.728,2.032,2.036,2.082,1.012,1.212,2.126
197228,0.003,0.108,0.175,0.177,0.250,0.303,0.386,0.408,0.338,0.453,0.652,0.657,0.663,0.672,0.674,0.704,1.964,1.991,2.053,1.065,1.277,2.098
197238,0.003,0.100,0.167,0.169,0.241,0.296,0.380,0.402,0.332,0.460,0.656,0.661,0.668,0.676,0.677,0.711,2.036,2.041,2.090,1.061,1.262,2.122